bytes	human_size	file_count	extension
112 112B 1 yarn
112 112B 1 socket
103 103B 3 promisor
101 101B 1 json-example-noauth
101 101B 1 hgignore
101 101B 1 gdb
101 101B 1 26
91 91B 1 modulemap
90 90B 1 opts
87 87B 1 ansible-lint
85 85B 52 gitkeep
83 83B 2 jupyterlab-workspace
82 82B 1 libtom
77 77B 1 133
67 67B 1 hardhat-dependency-compiler
64 64B 1 nodes-hash
63 63B 3 attr
60 60B 1 pyml
60 60B 14 chainid
57 57B 1 worktree
53 53B 1 local
51 51B 1 gs
50 50B 1 huskyrc
48 48B 1 stylelintrc
46 46B 2 yarnrc
45 45B 1 modulerc
44 44B 1 assetsignore
43 43B 1 ram
43 43B 1 jade
42 42B 7 nvmrc
37 37B 1 taprc
24 24B 4 cvsignore
15 15B 1 user-files-htaccess
15 15B 1 tool-versions
13 13B 1 rs
12 12B 1 pip
9 9B 1 version
7 7B 1 python-version
6 6B 1 bazelversion
2 2B 1 couchapprc
1 1B 4 misc
0 0B 2 placeholder
0 0B 2 empty
0 0B 1 homedir
0 0B 1 gpg-v21-migrated
0 0B 1 com
0 0B 10 git_keep
